id,xmin,ymin,xmax,ymax
13439,13.3375,52.5903,13.3751,52.6072
13465,13.2614,52.6250,13.3107,52.6613
13467,13.2817,52.6010,13.3362,52.6288
13469,13.3001,52.5969,13.3764,52.6266
13503,13.2008,52.5961,13.2933,52.6292
13505,13.2103,52.5662,13.2771,52.6002
13507,13.2489,52.5509,13.3056,52.5999
13509,13.2815,52.5753,13.3182,52.6063
13581,13.1559,52.5210,13.2043,52.5398
13583,13.1678,52.5352,13.1966,52.5519
13585,13.1905,52.5382,13.2228,52.5557
13587,13.1286,52.5528,13.2288,52.5983
13589,13.1443,52.5440,13.1986,52.5708
13591,13.1173,52.5174,13.1707,52.5562
13593,13.1425,52.4933,13.1872,52.5280
13595,13.1791,52.4981,13.2190,52.5282
13597,13.1956,52.5137,13.2448,52.5418
13599,13.2080,52.5272,13.2610,52.5670
13627,13.2720,52.5296,13.3304,52.5517
13629,13.2394,52.5274,13.2980,52.5579
14050,13.2405,52.5097,13.2872,52.5307
14052,13.2347,52.5057,13.2735,52.5263
14053,13.2196,52.5096,13.2496,52.5262
14055,13.2070,52.4889,13.2811,52.5142
14057,13.2729,52.4982,13.2997,52.5110
14059,13.2787,52.5101,13.2998,52.5322
14089,13.1086,52.4399,13.1901,52.5002
14109,13.0883,52.3875,13.2001,52.4458
14129,13.1526,52.4156,13.2292,52.4564
14163,13.2137,52.4189,13.2623,52.4578
14165,13.2253,52.4043,13.2694,52.4312
14167,13.2592,52.4041,13.2969,52.4391
14169,13.2496,52.4312,13.2826,52.4581
14193,13.1775,52.4363,13.2999,52.5022
14195,13.2553,52.4417,13.3111,52.4749
14197,13.2995,52.4673,13.3203,52.4805
14199,13.2776,52.4677,13.3119,52.4880
