"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"1639","52.50946","13.31916","Goethestr. 12","Charlottenburg","10625","","2|4|6","","Kita Goethestraße","0","717","0","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","17:00","170","117","53"
"769229","52.54976","13.56496","Jan-Petersen-Str. 18","Marzahn","12679","","","","Kita Goldfischchen","0","940","1","0","0","0","0","0","0","0","0","0","0","105","null","null"
"663229","52.57563","13.3982","Grabbeallee 45","Niederschönhausen","13156","2|3","","","Kita Grabbe-Kogge","0","941","1","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","97","60","37"
"2087","52.57018","13.42336","Granitzstr. 38","Pankow","13189","2","","","Kita Granitzstraße","0","529","1","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:30","85","50","35"
"544379","52.44016","13.35085","Kaiser-Wilhelm-Str. 116","Lankwitz","12247","","","","Kita Grashüpferchen","0","942","1","0","0","0","0","0","0","0","0","0","0","92","60","32"
"588279","52.42379","13.39555","Mariendorfer Damm 334 -336","Mariendorf","12109","","","","Kita Grashüpferchen II","0","942","1","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","06:00","17:00","103","null","null"
"657229","52.41501","13.34526","Hildburghauser Str. 73","Marienfelde","12279","","","","Kita Grashüpferchen III","0","942","1","0","0","0","0","0","0","0","0","0","0","80","null","null"
"2975","52.48548","13.46438","Puderstr. 21","Plänterwald","12435","2","0","1","Kita Greta and Friends","0","764","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","40","24","16"
"1953","52.46504","13.51834","Griechische Allee 21 /25","Oberschöneweide","12459","","","","Kita Griechische Allee 21-25/Kitas SüdOst","0","6","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","172","103","69"
"790","52.40685","13.40954","Griembergweg 29","Lichtenrade","12309","","","","Kita Griembergweg","0","943","1","06:30","18:00","06:30","18:00","06:30","18:00","06:30","18:00","06:30","18:00","190","99","91"
"1719","52.56027","13.1532","Griesingerstr. 11","Falkenhagener Feld","13589","10","2","","Kita Griesinger Waldfüssler","0","717","0","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","83","63","20"
"227179","52.55376","13.3619","Groninger Str. 34","Wedding","13347","2","1|3|4","3","Kita Groninger Straße 34","0","944","2","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00","13","0","13"
"467129","52.44931","13.51181","Groß-Berliner Damm 33 - 37","Johannisthal","12489","2","1","","Kita Groß-Berliner Damm","0","905","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","35","0","35"
"511279","52.47079","13.44598","Braunschweiger Str. 57","Neukölln","12055","","","","Kita Großstadtzwerge","0","945","1","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","25","15","10"
