id;address;district;plz;educational;topics;languages;name;type;parent;parenttype;mo_o;mo_c;tu_o;tu_c;we_o;we_c;th_o;th_c;fr_o;fr_c;all;over;under
1013;Friesenstr. 4;Kreuzberg;10965;;;;Kita Tausend Fühler /Nachbarschaftshs Urbanstr.;0;1098;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;24;14;10
543;Richard-Münch-Str. 69;Staaken;13591;2;2|4|6|5;;Kita Tausendfühler;0;717;0;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;95;62;33
2160;Salanderweg 27;Marzahn;12685;2;;;Kita Tausendfuß/Kigä NordOst;0;0;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;193;142;51
156;Liebigstr. 30;Friedrichshain;10247;2;1|2|3|4|6;;Kita Tausendfüsschen;0;931;3;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;160;104;56
2210;Goeckestr. 25 /26;Alt-Hohenschönhausen;13055;2;;;Kita Tausendfüßler;0;1053;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;250;190;60
694229;Steglitzer Damm 69A;Steglitz;12169;;;;Kita Tautropfen;0;11;3;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;74;null;null
503229;Tegnerstr. 1 Ecke Bornholmer Straße 11;Prenzlauer Berg;10439;2;1|4|6;;Kita Tegner-Strolche;0;907;1;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;25;17;8
2615;Teltower Damm 191;Zehlendorf;14169;16;;;Kita Teltower Damm 191;0;1109;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;54;43;11
1835;Teltower Damm 95;Zehlendorf;14169;;;;Kita Teltower Damm 95/Kitas Süd-West;0;709;0;06:00;19:00;06:00;19:00;06:00;19:00;06:00;19:00;06:00;19:00;198;142;56
1083;Hohenzollernstr. 4;Zehlendorf;14163;2;;;Kita Teltower Rübchen;0;696;1;07:00;16:00;07:00;16:00;07:00;16:00;07:00;16:00;07:00;16:00;40;35;5
2814;Bruno-Baum-Str. 58 -60;Marzahn;12685;15|11;0|3|6|5;5;Kita Teremok;0;766;1;06:30;18:00;06:30;18:00;06:30;18:00;06:30;18:00;06:30;18:00;232;148;84
1666;Alt-Lietzow 31;Charlottenburg;10587;2;;;Kita Teresa Tauscher;0;1110;5;06:45;18:00;06:45;18:00;06:45;18:00;06:45;18:00;06:45;18:00;85;60;25
281129;Thaerstr. 31;Prenzlauer Berg;10249;28;3;1;Kita Thaerstraße;0;1111;1;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;94;55;39
441179;Holteistr. 19;Friedrichshain;10245;;1;1;Kita THOLP;0;509;4;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;42;42;0
1853;Peter-Lenné-Str. 42;Dahlem;14195;;;;Kita Thomas-Haus Berlin;0;1112;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;45;null;null
592;Tietzstr. 12;Borsigwalde;13509;13|0|2;;;Kita Tietzer Strolche;1;556;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;36;24;12
106;Schönhauser Allee 165;Prenzlauer Berg;10439;2;;;Kita Tigerenten/Kigä NordOst;0;0;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;74;53;21
1422;Korbmacherweg 33;Rudow;12355;;;;Kita Till Eulenspiegel;0;551;1;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:00;125;100;25
953;Adalbertstr. 23B;Kreuzberg;10999;2;;;Kita Till Eulenspiegel-Kette;0;1113;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;22;15;7
954;Admiralstr. 20;Kreuzberg;10999;2;;;Kita Till Eulenspiegel-Kette;0;1113;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;15;10;5
2639;Simon-Dach-Str. 24;Friedrichshain;10245;2;;;Kita Till Eulenspiegel-Kette;0;1113;1;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;22;15;7
129179;Gryphiusstr. 21;Friedrichshain;10245;2;;;Kita Till Eulenspiegel-Kette;0;1113;1;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;20;13;7
505229;Kienitzer Str. 99;Neukölln;12053;;;;Kita Timbales;0;1114;1;0;0;0;0;0;0;0;0;0;0;20;null;null
385129;Friedrich-Franz-Str. 39;Tempelhof;12103;2;2;;Kita Tiponi II;0;578;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;16:30;25;25;0
280129;Werderstr. 29;Tempelhof;12105;2;2;;Kita Tiva;0;578;1;07:30;17:00;07:30;17:00;07:30;17:00;07:30;17:00;07:30;17:00;25;10;15
572229;Torgauer Str. 27 - 29;Hellersdorf;12627;;2|4;;Kita Torgauer Straße;0;686;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;160;85;75
1472;Tornower Weg 8;Märkisches Viertel;13439;;1|2|4;;Kita Tornower Weg;0;717;0;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:00;80;57;23
473179;Tornower Weg 6;Märkisches Viertel;13439;;;;Kita Tornower Weg;0;1115;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;60;30;30
100072;Torstr. 134;Mitte;10178;28;3;1;Kita Torstraße;0;1116;1;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;86;72;14
1149;Dessauer Str. 27;Kreuzberg;10963;;;;Kita Traumbaum;0;551;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;16:30;112;96;16
2474;Regattastr. 130;Grünau;12527;;;;Kita Traumhaus;0;757;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;50;30;20
26;Schmidstr. 2;Mitte;10179;2;;;Kita Trauminsel;0;747;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;75;54;21
2894;Wilhelmstr. 15;Kreuzberg;10963;2;0|1|3|4;0;Kita Trauminsel;1;1117;2;08:00;16:00;08:00;16:00;08:00;16:00;08:00;16:00;08:00;16:00;20;13;7
100064;Wilhelmstr. 3;Kreuzberg;10963;2;0|1|3|4;0|5|3;Kita Trauminsel;1;1117;2;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;35;25;10
747229;Fridolinweg 66;Biesdorf;12683;;;;Kita Traumland;0;1118;1;0;0;0;0;0;0;0;0;0;0;47;null;null
2284;Teupitzer Str. 10 /12;Hellersdorf;12629;2;;;Kita Traumzauberhaus/Kigä NordOst;0;0;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;175;137;38
516279;Köpenicker Str. 325 /Haus 216;Köpenick;12683;2;;;Kita Traumzauberland;0;1119;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;40;17;23
494229;Trautenaustr. 18;Wilmersdorf;10717;18;2|3;4;Kita Trautenaustraße;0;744;1;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:00;25;0;25
2908;Treptower Str. 32A;Neukölln;12059;2;;;Kita Treptower Straße;0;1108;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;150;150;0
546279;Treskowallee 135;Karlshorst;12459;2;6;;Kita Treskowallee;0;1053;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;undefined;undefined;179;139;40
472;Treuenbrietzener Str. 26;Märkisches Viertel;13439;2;2;;Kita Treuenbrietzener Straße;0;717;0;06:00;17:00;06:00;17:00;06:00;17:00;06:00;17:00;06:00;16:00;241;181;60
756229;Arneburger Str. 8 - 10;Hellersdorf;12627;3;;;Kita Trickmännchen;0;1120;1;0;0;0;0;0;0;0;0;0;0;45;null;null
466129;Tübinger Str. 1;Wilmersdorf;10715;3;4|6;;Kita Tübinger Straße;0;722;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;25;12;13
586329;Naumannstr. 7 links;Schöneberg;10829;2;;3;Kita Tulpen;0;994;2;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;07:30;16:30;17;14;3
1970;Uhlenhorster Str. 27;Köpenick;12555;;;;Kita Uhlenhorster Str. 27/Kitas SüdOst;0;6;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;87;54;33
2270;Ulmenstr. 79;Kaulsdorf;12621;;;;Kita Ulmenstr. 79/Kigä NordOst;0;0;0;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;44;40;4
2519;Leipziger Str. 47;Mitte;10117;15;0|1|3|4|6|5;5;Kita Umka;0;766;1;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;07:30;18:00;64;44;20
748229;Reinickendorfer Str. 63;Wedding;13347;;;;Kita Umpa Lumpa;0;1121;1;0;0;0;0;0;0;0;0;0;0;25;null;null
