id,lat,lon,e,alat,alon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c,all,over,under
2362,52.5409999,13.3044598,1,52.54877,13.34962,,,,"Ev. Kinderhaus Kapernaum",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,60,60,0
1485,52.5698014,13.3757641,0,52.56979,13.37572,,,,"Ev. Kindertagesstätte",0,499,4,0,0,0,0,0,0,0,0,0,0,59,59,0
571,52.4830386,13.3542784,1,52.48283,13.34803,"2","0|2|3|6|7",,"Ev. Kindertagesstätte Alt-Schöneberg",0,496,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,70,38,32
1283,52.44703999999999,13.35116,0,52.44702,13.35127,,,,"Ev. Kindertagesstätte Südende",0,500,4,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,130,130,0
1481,52.57237,13.309,0,52.57235,13.30957,,,,"Ev. Kita Albert-Schweitzer/Ev. Segenskirchengemeinde",0,501,4,0,0,0,0,0,0,0,0,0,0,100,100,0
504,52.4729,13.29314,1,52.59423,13.40074,"2","2|4|6|7",,"Ev. Kita Alt-Schmargendorf",0,496,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,16:00,47,37,10
1336,52.4610632,13.3789076,0,52.46122,13.37858,"4|2","3|4|6",,"Ev. Kita Alt-Tempelhof",0,496,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,164,94,70
2494,52.54455,13.38974,0,52.54451,13.38967,,,,"Ev. Kita am Humboldthain",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,70,70,0
420,52.47674,13.44475,0,52.47677,13.44463,"4",,,"Ev. Kita Brüdergemeinde",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,81,54,27
2927,52.43081000000001,13.45078,0,52.43078,13.45074,,,,"Ev. Kita Coretta King",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,136,94,42
2926,52.4717914,13.4662864,0,52.47169,13.46606,"8|4|2",,,"Ev. Kita Debora",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,117,85,32
421,52.4228052,13.4574038,1,52.43006,13.47233,"2",,,"Ev. Kita Dreieinigkeit",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,119,75,44
2311,52.52208,13.33048,0,52.522,13.33034,,,,"Ev. Kita Erlöser",0,498,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,60,60,0
173,52.51771,13.45609,0,52.51786,13.45615,,,,"Ev. Kita Galiläa",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,70,70,0
1039,52.5109267,13.2223486,0,52.51097,13.22244,"25","6",,"Ev. Kita Grünes Dreieck/Ev. Friedensgem. Charlottenburg",0,503,4,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,35,25,10
1777,52.49365239999999,13.2830915,0,52.49357,13.28309,"2","2|4|6|7",,"Ev. Kita Grunewald",0,496,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,60,45,15
2073,52.56684629999999,13.4413742,0,52.56692,13.44092,,,,"Ev. Kita Heinersdorf",0,498,4,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,06:30,17:00,56,56,0
1409,52.4426,13.44779,0,52.44162,13.44623,,,,"Ev. Kita Hephatha",0,502,4,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,81,52,29
1489,52.6173827,13.3121498,0,52.61732,13.31196,,,,"Ev. Kita Hermsdorf",0,504,4,0,0,0,0,0,0,0,0,0,0,100,100,0
1121,52.4480476,13.4519726,1,52.43856,13.43524,,,,"Ev. Kita Johann-Christoph-Blumhardt",0,502,4,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,20,9,11
1122,52.4426,13.44779,0,52.4423,13.44631,,,,"Ev. Kita Kirchenwichtel",0,502,4,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,15,10,5
642,52.5593318,13.3440306,0,52.55927,13.34405,,,,"Ev. Kita Kornelius",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,55,55,0
1411,52.46858169999999,13.4621424,1,52.47272,13.44132,"2",,,"Ev. Kita Magdalenen/Kirchenkr. Neukölln",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,122,84,38
1410,52.4284999,13.4551929,1,52.42827,13.45591,"2",,,"Ev. Kita Martin Luther King",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,143,108,35
741,52.54148,13.24213,0,52.54143,13.24243,,,,"Ev. Kita Martin-Albertz-Haus",0,505,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,120,80,40
1086,52.4949826,13.4145966,0,52.49478,13.41374,,,,"Ev. Kita Melanchthon",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,50,50,0
2361,52.5478428,13.3591799,0,52.54785,13.3592,,,,"Ev. Kita Nazareth",0,498,4,06:00,16:30,06:00,16:30,06:00,16:30,06:00,16:30,06:00,16:30,48,48,0
2960,52.4187174,13.4165884,0,52.41855,13.41635,"26|2",,,"Ev. Kita Neu-Buckow",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,100,70,30
1089,52.4912,13.43175,0,52.49104,13.4319,"26|2",,,"Ev. Kita Nikodemus",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,90,60,30
289,52.4638832,13.4390622,0,52.46401,13.43934,,,,"Ev. Kita Philipp Melanchthon",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,85,58,27
2785,52.42435,13.46625,0,52.42432,13.46636,,,,"Ev. Kita Regenbogen",0,502,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,120,80,40
2980,52.5117669,13.4744855,1,52.4558,13.62849,,,,"Ev. Kita Regenbogenfisch",0,498,4,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,75,75,0
735,52.51888,13.46564,0,52.51868,13.46603,,,,"Ev. Kita Samariter",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,31,31,0
507,52.43542,13.22062,0,52.43536,13.22062,"2","4|6|7",,"Ev. Kita Schlachtensee",0,496,4,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,55,43,12
175,52.5066,13.45956,0,52.50667,13.4599,,,,"Ev. Kita Sonnenblume",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,100,100,0
39,52.5248111,13.3991541,0,52.52511,13.39912,,,,"Ev. Kita Sophien",0,498,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,84,84,0
