"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
"201212";"12103115";"12";"10";"31";"15";"2";7374,00;3597,00;3777,00;56,00;77,00;80,00;148,00;51,00;43,00;66,00;106,00;91,00;128,00;64,00;181,00;178,00;452,00;238,00;375,00;562,00;442,00;488,00;636,00;558,00;496,00;256,00;164,00;109,00;215,00;409,00;325,00;220,00;123,00;34,00;3,00;56,00;356,00;498,00;181,00;630,00;3299,00;916,00;1058,00;380,00
"201212";"12103116";"12";"10";"31";"16";"2";9012,00;4499,00;4513,00;95,00;109,00;91,00;197,00;108,00;83,00;77,00;161,00;192,00;152,00;63,00;239,00;322,00;571,00;355,00;431,00;696,00;593,00;667,00;797,00;678,00;521,00;276,00;139,00;158,00;226,00;381,00;298,00;193,00;87,00;47,00;9,00;95,00;505,00;728,00;239,00;893,00;4217,00;936,00;1063,00;336,00
"201212";"12103117";"12";"10";"31";"17";"2";9629,00;4860,00;4769,00;130,00;127,00;122,00;181,00;67,00;108,00;113,00;127,00;166,00;130,00;96,00;241,00;294,00;628,00;345,00;475,00;744,00;627,00;681,00;788,00;710,00;595,00;324,00;199,00;157,00;307,00;472,00;371,00;170,00;78,00;53,00;3,00;130,00;497,00;740,00;241,00;922,00;4370,00;1118,00;1307,00;304,00
"201212";"12103218";"12";"10";"32";"18";"2";12775,00;6105,00;6670,00;131,00;128,00;135,00;234,00;104,00;94,00;95,00;216,00;192,00;209,00;95,00;363,00;404,00;766,00;401,00;565,00;874,00;708,00;874,00;1042,00;1001,00;719,00;464,00;298,00;231,00;361,00;762,00;590,00;323,00;245,00;113,00;38,00;131,00;601,00;901,00;363,00;1170,00;5465,00;1481,00;1944,00;719,00
"201212";"12103219";"12";"10";"32";"19";"2";8389,00;3949,00;4440,00;102,00;90,00;61,00;144,00;78,00;70,00;37,00;132,00;89,00;129,00;48,00;180,00;202,00;487,00;285,00;401,00;572,00;485,00;495,00;630,00;628,00;492,00;314,00;212,00;147,00;277,00;561,00;406,00;271,00;220,00;101,00;43,00;102,00;373,00;505,00;180,00;689,00;3496,00;1018,00;1391,00;635,00
"201212";"12103220";"12";"10";"32";"20";"2";4541,00;2137,00;2404,00;37,00;31,00;45,00;72,00;22,00;39,00;12,00;42,00;33,00;55,00;42,00;97,00;98,00;247,00;120,00;200,00;318,00;222,00;300,00;412,00;371,00;305,00;198,00;89,00;88,00;178,00;332,00;276,00;143,00;92,00;21,00;4,00;37,00;170,00;223,00;97,00;345,00;1943,00;592,00;874,00;260,00
"201212";"12214125";"12";"21";"41";"25";"2";7089,00;3864,00;3225,00;46,00;51,00;57,00;103,00;56,00;35,00;68,00;59,00;78,00;131,00;46,00;205,00;213,00;327,00;164,00;284,00;400,00;495,00;527,00;716,00;591,00;469,00;323,00;206,00;140,00;285,00;449,00;310,00;150,00;79,00;26,00;0,00;46,00;267,00;417,00;205,00;540,00;3177,00;998,00;1184,00;255,00
"201212";"12214126";"12";"21";"41";"26";"2";7506,00;3484,00;4022,00;70,00;67,00;74,00;118,00;69,00;61,00;59,00;128,00;123,00;119,00;65,00;197,00;195,00;297,00;183,00;290,00;479,00;424,00;521,00;584,00;601,00;481,00;292,00;203,00;163,00;319,00;580,00;324,00;225,00;141,00;45,00;9,00;70,00;328,00;555,00;197,00;492,00;3082,00;976,00;1386,00;420,00
"201212";"12214421";"12";"21";"44";"21";"2";2456,00;1213,00;1243,00;16,00;16,00;18,00;63,00;34,00;6,00;13,00;49,00;37,00;43,00;12,00;37,00;40,00;127,00;89,00;126,00;192,00;146,00;148,00;224,00;214,00;143,00;89,00;71,00;43,00;73,00;160,00;102,00;79,00;34,00;12,00;0,00;16,00;131,00;160,00;37,00;167,00;1139,00;303,00;378,00;125,00
"201212";"12214422";"12";"21";"44";"22";"2";7522,00;3794,00;3728,00;73,00;77,00;71,00;149,00;77,00;83,00;92,00;169,00;145,00;160,00;54,00;234,00;288,00;474,00;264,00;369,00;536,00;496,00;525,00;602,00;534,00;392,00;237,00;136,00;107,00;215,00;466,00;265,00;116,00;62,00;41,00;13,00;73,00;374,00;703,00;234,00;762,00;3326,00;765,00;1053,00;232,00
