ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
200612;01011101;01;01;11;01;1;3302;1747;1555;13;12;12;38;6;3;10;19;15;15;21;60;92;236;178;239;265;222;228;242;230;285;137;108;91;159;154;98;63;39;9;3;13;68;83;60;328;1604;530;502;114
200612;01011102;01;01;11;02;1;200;116;84;0;6;0;0;0;3;0;0;0;3;0;6;6;7;4;4;21;10;25;24;17;19;3;13;6;10;0;6;3;0;4;0;0;6;6;6;13;105;35;22;7
200612;01011103;01;01;11;03;1;4718;2463;2255;38;34;28;74;38;44;35;70;68;64;33;95;148;268;175;208;304;379;435;442;384;338;165;94;138;113;162;114;106;56;36;32;38;174;314;95;416;2327;597;527;230
200612;01011104;01;01;11;04;1;3782;1972;1810;40;45;61;86;43;52;45;75;72;72;43;130;167;384;210;302;347;259;359;247;189;188;82;40;30;46;75;60;12;12;6;3;40;235;359;130;551;1913;310;211;33
200612;01011105;01;01;11;05;1;775;432;343;3;9;6;15;3;0;6;14;6;9;6;19;13;49;16;33;66;97;75;82;78;53;22;21;13;22;18;12;6;3;0;0;3;33;41;19;62;447;96;65;9
200612;01011201;01;01;12;01;1;2226;1174;1052;15;16;19;34;13;16;17;28;37;27;17;94;78;102;56;77;128;190;222;223;188;171;91;47;48;82;74;77;27;3;9;0;15;82;142;94;180;1084;309;281;39
200612;01011202;01;01;12;02;1;462;249;213;3;0;6;9;7;3;6;6;6;3;0;9;10;18;24;22;48;46;51;44;43;21;15;6;15;16;10;6;6;0;3;0;3;22;24;9;28;278;42;47;9
200612;01011203;01;01;12;03;1;983;515;468;6;0;6;9;7;9;10;7;6;12;6;24;37;44;24;37;78;94;98;87;102;87;38;23;21;37;47;12;9;6;0;0;6;22;50;24;81;520;148;117;15
200612;01011204;01;01;12;04;1;5617;2806;2811;22;37;40;46;27;21;13;44;46;35;15;109;170;245;156;252;392;424;454;469;404;489;244;220;222;264;325;243;130;43;10;6;22;150;174;109;415;2551;953;1054;189
200612;01011301;01;01;13;01;1;4403;2327;2076;35;41;37;69;13;26;19;27;31;28;14;59;114;267;202;367;613;580;479;341;311;216;110;74;79;80;78;38;30;12;9;4;35;160;145;59;381;2893;400;275;55
200612;01011302;01;01;13;02;1;11664;6074;5590;128;130;123;231;84;105;77;175;137;127;59;273;300;722;527;888;1561;1657;1361;861;647;407;182;123;141;144;212;119;80;40;40;3;128;568;680;273;1022;7502;712;616;163
200612;01011303;01;01;13;03;1;8134;4163;3971;74;50;57;70;43;36;34;52;71;59;25;135;225;515;340;570;854;830;668;531;490;374;240;223;244;311;434;287;169;83;34;6;74;220;277;135;740;4283;837;1276;292
200612;01011304;01;01;13;04;1;8193;3728;4465;45;42;57;95;44;43;52;76;78;82;45;193;224;385;203;238;359;441;518;499;492;419;273;312;355;579;811;646;386;122;53;26;45;238;376;193;609;2750;1004;2391;587
200612;01011305;01;01;13;05;1;6260;3087;3173;29;53;42;70;22;18;33;48;45;52;22;124;192;336;192;253;408;448;467;384;366;336;183;221;258;405;626;398;154;63;12;0;29;187;218;124;528;2518;740;1687;229
200612;01011306;01;01;13;06;1;7433;3834;3599;65;74;48;89;39;40;42;69;63;56;33;173;238;515;263;428;615;650;717;551;526;396;186;186;259;352;386;206;95;42;22;9;65;250;303;173;753;3750;768;1203;168
200612;01011401;01;01;14;01;1;13001;6718;6283;142;143;154;239;131;93;70;159;128;103;50;209;323;900;717;1256;2065;1915;1348;837;557;343;152;141;146;139;183;156;107;60;29;6;142;667;603;209;1223;8695;636;624;202
200612;01011402;01;01;14;02;1;11030;5616;5414;189;160;126;187;54;64;70;89;85;72;34;133;208;650;614;1100;2072;1836;1119;574;387;290;138;96;73;116;157;133;76;60;46;22;189;527;414;133;858;7702;524;479;204
200612;01022101;01;02;21;01;1;2796;1559;1237;24;15;29;47;23;19;18;41;37;37;18;70;115;245;137;186;254;264;293;230;155;170;67;38;60;57;60;44;25;12;6;0;24;114;170;70;360;1519;275;221;43
200612;01022102;01;02;21;02;1;5606;3125;2481;58;69;54;134;53;37;38;110;83;84;30;148;200;451;279;373;521;486;536;449;352;311;156;61;88;123;125;90;39;43;16;9;58;310;382;148;651;2996;528;426;107
200612;01022103;01;02;21;03;1;141;79;62;3;7;3;4;4;0;0;0;0;0;3;0;9;15;9;3;10;15;15;14;15;0;3;3;3;0;0;0;3;0;0;0;3;18;3;0;24;81;6;3;3
200612;01022104;01;02;21;04;1;16622;8702;7920;156;160;144;268;152;126;144;242;229;233;123;461;584;1276;717;984;1465;1433;1551;1349;1134;1041;473;313;318;398;503;302;168;132;25;18;156;724;1097;461;1860;8633;1827;1521;343
200612;01022105;01;02;21;05;1;4634;2442;2192;44;67;61;96;56;58;48;105;116;74;47;116;145;344;186;318;360;426;398;352;284;260;110;65;91;115;110;87;38;27;18;12;44;280;448;116;489;2324;435;403;95
200612;01022106;01;02;21;06;1;10763;5322;5441;83;91;86;164;79;91;68;197;157;163;67;232;302;525;301;520;846;973;1095;961;827;699;296;232;288;349;367;309;176;137;66;16;83;420;743;232;827;5523;1227;1313;395
200612;01022201;01;02;22;01;1;9590;5065;4525;97;100;94;188;82;101;103;148;167;174;74;260;345;821;480;650;883;920;949;678;523;488;226;147;194;177;209;154;76;49;18;15;97;464;767;260;1166;5083;861;734;158
200612;01022202;01;02;22;02;1;1431;682;749;17;31;17;32;15;26;22;43;41;47;24;72;68;67;38;68;114;139;128;82;78;58;44;31;28;37;34;9;12;6;3;0;17;95;203;72;135;647;133;108;21
200612;01022203;01;02;22;03;1;6257;3146;3111;67;48;87;125;49;53;75;136;107;103;64;196;258;389;211;310;530;494;524;427;409;392;187;131;117;207;188;163;112;55;43;0;67;309;538;196;647;2905;710;675;210
200612;01022204;01;02;22;04;1;5622;2774;2848;46;46;52;87;50;40;31;75;55;74;34;120;154;291;191;244;418;536;563;454;370;384;223;122;144;173;233;158;130;73;42;9;46;235;309;120;445;2776;729;708;254
200612;01022205;01;02;22;05;1;2916;1441;1475;21;34;24;58;26;35;31;72;49;54;37;117;84;121;73;123;140;189;190;218;210;207;118;81;94;120;134;104;85;39;25;3;21;142;278;117;205;1143;406;452;152
200612;01022206;01;02;22;06;1;2890;1513;1377;34;31;13;51;9;31;21;42;39;32;27;61;90;140;118;186;290;275;281;270;188;162;59;64;80;70;90;69;33;28;3;3;34;104;192;61;230;1608;285;309;67
200612;01022207;01;02;22;07;1;5913;2937;2976;28;37;31;80;34;40;36;61;64;63;15;73;169;575;288;386;464;394;425;339;371;372;224;174;141;196;280;218;200;93;30;12;28;182;279;73;744;2667;770;835;335
200612;01033101;01;03;31;01;1;22064;11476;10588;293;254;269;529;259;267;243;526;449;427;231;724;852;1502;890;1254;1739;1817;1866;1635;1241;1112;576;429;462;556;671;402;282;172;86;49;293;1311;2143;724;2354;10442;2117;2091;589
200612;01033102;01;03;31;02;1;10285;5335;4950;120;130;128;212;106;101;132;226;188;215;104;373;423;717;408;576;871;856;886;687;567;566;271;237;200;271;316;205;100;64;15;14;120;576;966;373;1140;4851;1074;992;193
200612;01033201;01;03;32;01;1;12464;6039;6425;160;164;172;360;190;151;165;332;333;323;186;550;511;592;382;597;920;924;995;839;699;636;277;212;245;363;444;345;218;102;61;16;160;886;1490;550;1103;5356;1125;1397;397
