ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
200512;01011101;01;01;11;01;1;3273;1707;1566;10;19;19;25;9;15;12;13;33;25;9;68;84;266;156;208;228;215;247;246;243;282;158;113;99;134;120;94;62;35;22;4;10;72;107;68;350;1543;553;447;123
200512;01011102;01;01;11;02;1;189;113;76;0;0;0;3;3;0;0;3;0;9;0;10;3;7;0;9;9;22;28;19;15;12;9;10;6;9;0;0;0;0;3;0;0;6;12;10;10;102;31;15;3
200512;01011103;01;01;11;03;1;4768;2500;2268;44;37;32;75;41;23;34;89;60;73;38;131;126;267;156;221;315;430;431;414;395;335;166;113;107;118;157;116;98;62;46;18;44;185;317;131;393;2362;614;498;224
200512;01011104;01;01;11;04;1;3756;1968;1788;46;34;40;106;43;50;43;70;73;71;32;139;197;389;197;248;323;316;333;277;223;149;80;43;30;55;71;36;30;3;6;3;46;223;339;139;586;1917;272;192;42
200512;01011105;01;01;11;05;1;661;372;289;0;9;6;6;9;6;6;6;0;13;6;18;20;30;14;35;73;83;61;59;55;45;36;6;12;9;13;18;7;0;0;0;0;30;37;18;50;380;87;52;7
200512;01011201;01;01;12;01;1;2233;1188;1045;19;9;18;33;12;14;17;27;24;15;36;113;86;112;40;68;129;186;238;236;188;181;101;52;54;59;75;58;21;3;9;0;19;72;133;113;198;1085;334;246;33
200512;01011202;01;01;12;02;1;431;221;210;3;3;3;10;0;3;0;9;6;3;0;13;9;31;10;29;40;51;63;35;27;19;18;15;7;15;3;3;3;0;0;0;3;16;21;13;40;255;52;28;3
200512;01011203;01;01;12;03;1;989;516;473;3;12;6;6;12;11;4;6;3;6;3;27;29;53;26;42;91;82;98;79;103;85;37;25;26;36;53;19;6;0;0;0;3;36;33;27;82;521;147;134;6
200512;01011204;01;01;12;04;1;5614;2789;2825;21;45;29;55;16;13;25;52;57;38;27;116;163;281;159;216;374;450;480;421;446;464;277;222;207;269;292;215;134;32;15;3;21;145;212;116;444;2546;963;983;184
200512;01011301;01;01;13;01;1;4332;2286;2046;47;33;43;61;25;12;18;40;34;28;18;82;103;281;191;340;586;603;464;325;314;184;124;69;70;73;63;57;22;15;7;0;47;162;150;82;384;2823;377;263;44
200512;01011302;01;01;13;02;1;11491;5979;5512;112;143;124;215;102;71;90;158;122;128;71;303;355;738;515;878;1499;1681;1280;795;628;392;203;127;138;139;192;121;82;43;40;6;112;584;640;303;1093;7276;722;590;171
200512;01011303;01;01;13;03;1;8208;4176;4032;61;48;56;86;40;44;33;61;49;68;45;158;218;536;350;552;818;788;690;532;474;364;306;235;249;325;428;294;184;71;33;12;61;230;300;158;754;4204;905;1296;300
200512;01011304;01;01;13;04;1;7947;3592;4355;29;68;50;78;32;41;35;64;81;69;41;188;238;353;178;238;311;483;488;442;459;407;357;346;363;592;790;576;355;96;72;27;29;228;331;188;591;2599;1110;2321;550
200512;01011305;01;01;13;05;1;6214;3037;3177;46;36;33;42;40;24;31;43;33;55;31;154;163;319;212;269;377;433;439;409;363;324;230;259;274;434;596;356;133;40;16;0;46;151;217;154;482;2502;813;1660;189
200512;01011306;01;01;13;06;1;7361;3787;3574;51;57;56;96;31;57;29;73;52;64;34;196;264;490;285;395;589;686;699;542;512;358;258;206;274;324;325;194;94;33;18;19;51;240;309;196;754;3708;822;1117;164
200512;01011401;01;01;14;01;1;12327;6384;5943;134;162;119;185;105;77;76;135;126;113;63;220;328;883;685;1186;2016;1809;1239;710;525;314;176;134;133;134;195;152;118;38;34;3;134;571;590;220;1211;8170;624;614;193
