"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
"201312";"01011101";"01";"01";"11";"01";"1";3060,00;1585,00;1475,00;20,00;21,00;27,00;36,00;15,00;10,00;3,00;15,00;29,00;22,00;10,00;22,00;101,00;274,00;110,00;196,00;261,00;206,00;198,00;193,00;212,00;180,00;132,00;95,00;90,00;97,00;202,00;141,00;72,00;47,00;19,00;4,00;20,00;99,00;89,00;22,00;375,00;1376,00;407,00;530,00;142,00
"201312";"01011102";"01";"01";"11";"02";"1";184,00;99,00;85,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;6,00;0,00;0,00;0,00;9,00;3,00;0,00;11,00;18,00;12,00;22,00;19,00;28,00;10,00;3,00;3,00;3,00;6,00;16,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;9,00;0,00;12,00;110,00;16,00;31,00;0,00
"201312";"01011103";"01";"01";"11";"03";"1";4880,00;2668,00;2212,00;40,00;55,00;38,00;70,00;38,00;42,00;31,00;74,00;54,00;84,00;44,00;87,00;161,00;321,00;195,00;273,00;420,00;336,00;304,00;398,00;386,00;380,00;193,00;118,00;108,00;149,00;217,00;115,00;74,00;45,00;24,00;6,00;40,00;201,00;329,00;87,00;482,00;2312,00;691,00;589,00;149,00
"201312";"01011104";"01";"01";"11";"04";"1";4173,00;2258,00;1915,00;46,00;38,00;32,00;78,00;48,00;42,00;43,00;80,00;92,00;69,00;44,00;121,00;188,00;405,00;278,00;326,00;442,00;338,00;267,00;316,00;307,00;159,00;76,00;51,00;64,00;65,00;61,00;63,00;20,00;14,00;0,00;0,00;46,00;196,00;370,00;121,00;593,00;2274,00;286,00;253,00;34,00
"201312";"01011105";"01";"01";"11";"05";"1";1098,00;616,00;482,00;3,00;9,00;16,00;22,00;3,00;0,00;13,00;10,00;18,00;22,00;0,00;27,00;24,00;45,00;33,00;51,00;106,00;86,00;97,00;118,00;94,00;99,00;52,00;16,00;21,00;24,00;37,00;33,00;19,00;0,00;0,00;0,00;3,00;50,00;63,00;27,00;69,00;585,00;167,00;115,00;19,00
"201312";"01011201";"01";"01";"12";"01";"1";2071,00;1074,00;997,00;11,00;6,00;18,00;38,00;8,00;16,00;10,00;25,00;28,00;45,00;9,00;30,00;59,00;125,00;81,00;87,00;165,00;128,00;154,00;174,00;190,00;182,00;70,00;53,00;42,00;69,00;116,00;68,00;42,00;19,00;3,00;0,00;11,00;70,00;133,00;30,00;184,00;979,00;305,00;295,00;64,00
"201312";"01011202";"01";"01";"12";"02";"1";502,00;264,00;238,00;4,00;0,00;6,00;7,00;4,00;0,00;7,00;0,00;0,00;4,00;3,00;15,00;15,00;18,00;22,00;21,00;57,00;41,00;33,00;56,00;43,00;43,00;22,00;6,00;6,00;12,00;25,00;16,00;10,00;6,00;0,00;0,00;4,00;17,00;14,00;15,00;33,00;273,00;71,00;59,00;16,00
"201312";"01011203";"01";"01";"12";"03";"1";890,00;469,00;421,00;9,00;6,00;6,00;3,00;10,00;0,00;3,00;17,00;9,00;12,00;7,00;9,00;25,00;46,00;31,00;34,00;86,00;82,00;91,00;88,00;81,00;59,00;30,00;15,00;24,00;21,00;33,00;18,00;28,00;3,00;4,00;0,00;9,00;25,00;48,00;9,00;71,00;493,00;104,00;96,00;35,00
"201312";"01011204";"01";"01";"12";"04";"1";5959,00;2962,00;2997,00;34,00;40,00;46,00;40,00;25,00;47,00;43,00;64,00;49,00;48,00;30,00;86,00;117,00;279,00;170,00;348,00;486,00;398,00;400,00;470,00;462,00;395,00;275,00;181,00;162,00;213,00;459,00;300,00;182,00;88,00;22,00;0,00;34,00;151,00;281,00;86,00;396,00;2734,00;851,00;1134,00;292,00
"201312";"01011301";"01";"01";"13";"01";"1";5141,00;2639,00;2502,00;61,00;65,00;51,00;113,00;38,00;32,00;36,00;49,00;54,00;45,00;21,00;50,00;78,00;235,00;204,00;435,00;699,00;611,00;518,00;455,00;318,00;280,00;154,00;76,00;74,00;83,00;161,00;83,00;34,00;16,00;12,00;0,00;61,00;267,00;237,00;50,00;313,00;3240,00;510,00;401,00;62,00
