ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
200912;01011101;01;01;11;01;1;2930;1514;1416;12;15;13;15;6;14;9;12;19;3;9;46;69;129;145;178;260;197;192;250;233;220;148;59;95;153;197;88;86;39;9;10;12;49;66;46;198;1455;427;533;144
200912;01011102;01;01;11;02;1;184;108;76;0;0;0;6;0;0;0;0;0;3;0;3;3;3;3;12;12;12;25;26;23;12;11;0;6;9;12;0;0;0;3;0;0;6;3;3;6;113;23;27;3
200912;01011103;01;01;11;03;1;4626;2501;2125;31;31;50;65;36;24;38;78;62;74;27;82;126;289;149;268;341;306;365;402;362;385;193;92;100;148;194;106;80;73;24;25;31;182;303;82;415;2193;670;548;202
200912;01011104;01;01;11;04;1;3690;1932;1758;50;43;37;73;46;30;35;72;92;76;22;115;165;381;192;314;351;273;297;287;193;162;100;45;42;46;62;58;24;7;0;0;50;199;327;115;546;1907;307;208;31
200912;01011105;01;01;11;05;1;843;488;355;3;9;3;6;3;4;8;14;4;7;0;17;27;18;31;42;97;72;109;81;92;60;34;16;15;15;25;21;6;4;0;0;3;21;37;17;45;524;110;76;10
200912;01011201;01;01;12;01;1;2063;1077;986;3;22;19;27;15;9;16;47;25;12;10;48;95;110;66;52;109;185;164;238;191;165;77;37;49;75;71;75;35;16;0;0;3;83;119;48;205;1005;279;270;51
200912;01011202;01;01;12;02;1;443;231;212;6;7;4;13;0;0;3;6;9;6;3;7;6;15;10;24;52;24;45;52;37;28;12;13;14;15;16;9;3;4;0;0;6;24;27;7;21;244;53;54;7
200912;01011203;01;01;12;03;1;862;432;430;4;10;0;9;0;3;3;13;7;10;3;15;36;30;18;59;72;73;96;81;43;80;28;17;24;38;45;31;7;7;0;0;4;19;39;15;66;442;125;138;14
200912;01011204;01;01;12;04;1;5661;2866;2795;40;29;40;81;47;21;21;35;51;57;43;65;112;306;153;256;401;377;460;457;413;456;264;133;179;283;407;236;166;56;12;4;40;197;228;65;418;2517;853;1105;238
200912;01011301;01;01;13;01;1;4573;2385;2188;64;56;43;64;23;15;31;51;33;25;9;40;78;254;188;382;673;522;500;381;300;266;106;83;75;89;111;51;42;15;3;0;64;186;164;40;332;2946;455;326;60
200912;01011302;01;01;13;02;1;11835;6006;5829;147;132;143;248;108;117;102;217;149;156;55;172;270;662;501;840;1619;1415;1440;1092;619;507;198;94;125;198;207;151;69;46;24;12;147;631;796;172;932;7526;799;681;151
200912;01011303;01;01;13;03;1;8045;4096;3949;72;82;53;103;52;34;25;69;57;51;35;86;188;525;336;545;876;754;685;599;447;425;181;121;199;330;480;303;197;91;38;6;72;290;271;86;713;4242;727;1312;332
200912;01011304;01;01;13;04;1;8298;3818;4480;47;54;56;97;50;61;46;99;92;89;39;141;237;420;248;326;464;371;467;496;506;471;242;144;274;487;880;675;441;218;42;18;47;257;426;141;657;2878;857;2316;719
200912;01011305;01;01;13;05;1;5996;2914;3082;22;39;39;63;29;38;25;43;60;49;16;100;138;344;187;288;396;336;421;409;365;320;175;90;162;355;674;496;242;54;21;0;22;170;231;100;482;2402;585;1687;317
200912;01011306;01;01;13;06;1;7361;3769;3592;73;66;43;128;34;24;51;69;61;64;39;85;180;436;294;452;682;566;655;646;520;446;201;97;162;321;496;257;122;66;9;16;73;271;308;85;616;3815;744;1236;213
200912;01011401;01;01;14;01;1;13280;6766;6514;185;209;200;268;143;116;90;169;127;119;47;129;241;789;614;1228;2085;1820;1568;1004;576;443;188;63;131;193;206;144;94;66;17;8;185;820;668;129;1030;8895;694;674;185
200912;01011402;01;01;14;02;1;11265;5692;5573;178;163;153;258;110;88;87;126;117;92;34;94;153;542;480;1117;1942;1804;1326;814;405;299;138;83;99;109;162;99;102;53;19;19;178;684;544;94;695;7888;520;469;193
200912;01022101;01;02;21;01;1;2924;1641;1283;19;27;21;24;23;19;10;46;39;33;12;47;151;324;155;236;270;274;232;281;171;126;73;46;24;70;78;53;22;15;3;0;19;95;159;47;475;1619;245;225;40
200912;01022102;01;02;21;02;1;5577;3062;2515;56;59;69;126;50;65;56;69;86;73;51;136;224;490;305;419;491;455;456;448;316;308;168;93;81;111;145;67;57;32;9;6;56;304;400;136;714;2890;569;404;104
200912;01022103;01;02;21;03;1;182;110;72;7;8;3;7;6;3;6;0;3;0;0;0;6;15;6;15;20;6;19;13;9;6;0;6;3;0;9;0;0;6;0;0;7;24;12;0;21;88;12;12;6
200912;01022104;01;02;21;04;1;16512;8581;7931;166;189;163;288;114;137;110;221;242;256;101;307;545;1414;748;1225;1474;1247;1293;1383;1188;1000;550;268;279;406;568;309;163;112;34;12;166;754;1067;307;1959;8558;1818;1562;321
200912;01022105;01;02;21;05;1;4548;2385;2163;50;57;44;82;51;46;43;110;85;91;56;116;158;400;186;289;424;345;383;305;308;243;142;76;51;99;140;73;54;22;16;3;50;234;431;116;558;2240;461;363;95
200912;01022106;01;02;21;06;1;10774;5231;5543;66;107;101;182;95;66;82;160;149;168;70;206;269;620;355;564;826;772;954;1046;852;748;401;179;239;368;435;263;237;134;48;12;66;485;695;206;889;5369;1328;1305;431
200912;01022201;01;02;22;01;1;9730;5152;4578;92;100;87;172;84;64;72;166;169;151;64;213;427;994;522;717;973;762;867;766;556;461;240;113;130;202;258;150;94;52;12;0;92;443;686;213;1421;5163;814;740;158
200912;01022202;01;02;22;02;1;1428;691;737;13;22;15;45;20;12;18;42;50;40;21;73;48;85;57;69;105;118;131;105;87;43;41;24;32;33;39;27;7;6;0;0;13;102;183;73;133;672;108;131;13
200912;01022203;01;02;22;03;1;6362;3214;3148;70;81;74;127;76;43;74;133;119;102;62;176;232;467;239;377;492;491;498;431;380;372;206;117;105;187;279;119;109;83;31;10;70;358;533;176;699;2908;695;690;233
200912;01022204;01;02;22;04;1;5516;2724;2792;60;43;52;71;43;45;47;65;83;65;38;114;166;297;179;289;390;448;528;471;378;355;207;122;129;192;286;128;125;67;12;21;60;209;343;114;463;2683;684;735;225
200912;01022205;01;02;22;05;1;2997;1498;1499;33;26;27;69;36;26;33;54;77;68;31;94;118;162;63;118;223;173;195;210;192;205;122;61;72;122;142;111;74;37;13;10;33;158;289;94;280;1174;388;447;134
200912;01022206;01;02;22;06;1;2875;1521;1354;23;25;24;58;20;33;25;39;30;36;25;54;77;162;86;180;311;229;293;242;193;175;66;46;65;86;117;71;35;40;6;3;23;127;188;54;239;1534;287;339;84
200912;01022207;01;02;22;07;1;5800;2933;2867;37;32;38;68;23;21;37;65;62;49;26;92;157;540;341;324;469;350;410;394;318;382;203;133;187;211;301;223;169;98;40;0;37;161;260;92;697;2606;718;922;307
200912;01033101;01;03;31;01;1;22780;11911;10869;289;330;317;521;249;231;223;497;461;441;216;702;951;1824;965;1416;1935;1721;1734;1736;1388;1088;534;297;366;589;770;428;285;183;60;33;289;1417;2069;702;2775;10895;1919;2153;561
200912;01033102;01;03;31;02;1;10806;5564;5242;129;132;147;253;99;111;97;187;217;230;109;359;426;884;434;710;995;895;904;766;594;481;276;157;182;288;313;210;131;63;18;9;129;631;951;359;1310;5298;914;993;221
200912;01033201;01;03;32;01;1;12585;6201;6384;171;194;204;363;195;170;184;332;331;307;160;489;590;719;342;649;1076;863;867;920;676;634;329;161;194;289;481;317;219;126;15;18;171;956;1484;489;1309;5393;1124;1281;378
200912;01033202;01;03;32;02;1;9356;4546;4810;118;114;82;194;105;82;84;202;168;205;52;247;321;553;276;432;757;660;667;736;521;506;301;166;225;340;475;335;229;128;54;21;118;495;793;247;874;4049;973;1375;432
200912;01033203;01;03;32;03;1;12809;6809;6000;145;185;152;303;145;146;147;266;254;259;118;454;507;952;530;809;1154;1019;974;1007;739;614;341;189;189;323;383;247;154;64;21;19;145;785;1190;454;1459;6232;1144;1142;258
200912;01044101;01;04;41;01;1;18495;9534;8961;187;145;183;320;157;133;124;267;285;260;97;426;704;1240;612;1116;1412;1280;1592;1658;1291;1115;588;355;441;636;881;475;308;158;27;22;187;805;1166;426;1944;8961;2058;2433;515
200912;01044102;01;04;41;02;1;14717;6984;7733;110;121;77;213;110;84;104;171;142;221;92;285;434;799;422;581;853;894;1130;1203;963;945;566;274;398;692;1029;667;559;375;139;64;110;521;814;285;1233;6046;1785;2786;1137
200912;01044103;01;04;41;03;1;7472;3954;3518;60;82;62;122;60;61;50;106;133;70;67;157;201;599;332;527;738;619;679;685;531;376;226;77;123;201;258;135;85;31;13;6;60;326;487;157;800;4111;679;717;135
200912;01044201;01;04;42;01;1;20929;11042;9887;260;301;268;530;229;249;227;496;466;467;226;788;967;1631;863;1288;1807;1645;1629;1573;1144;951;458;284;319;473;664;330;183;129;52;32;260;1328;2131;788;2598;9949;1693;1786;396
200912;01044202;01;04;42;02;1;15144;8384;6760;181;124;141;276;125;125;96;265;253;237;112;326;617;1525;976;1344;1611;1200;1209;1147;909;714;367;148;155;275;297;183;136;53;8;9;181;666;1088;326;2142;8396;1229;910;206
200912;01044203;01;04;42;03;1;14809;7905;6904;160;152;148;281;155;142;124;250;242;239;99;346;596;1200;617;968;1362;1131;1114;1077;856;753;383;254;268;353;550;367;283;244;60;35;160;736;1096;346;1796;7125;1390;1538;622
200912;02010101;02;01;01;01;1;6126;3302;2824;67;78;65;136;60;73;52;163;155;169;78;225;303;532;285;367;533;508;477;472;341;291;189;77;64;104;105;74;23;48;6;6;67;339;690;225;835;2983;557;347;83
200912;02010102;02;01;01;02;1;12680;6267;6413;149;165;184;351;172;165;183;321;314;321;138;511;496;739;414;596;913;996;1013;1010;735;632;344;186;206;326;468;275;208;108;35;6;149;872;1442;511;1235;5677;1162;1275;357
200912;02010103;02;01;01;03;1;14660;7345;7315;204;184;210;378;176;169;166;317;346;340;158;514;496;781;409;789;1203;1216;1137;1138;849;709;379;237;225;424;630;410;258;135;48;25;204;948;1496;514;1277;6741;1325;1689;466
200912;02010104;02;01;01;04;1;4848;2409;2439;81;61;70;132;43;67;65;139;146;164;48;191;220;297;143;206;347;336;410;406;282;295;127;69;91;75;148;81;52;32;9;15;81;306;629;191;517;2130;491;395;108
200912;02020201;02;02;02;01;1;288;158;130;7;3;0;13;0;0;0;0;3;3;3;6;6;18;16;28;50;27;21;33;9;15;12;0;0;3;3;6;3;0;0;0;7;16;9;6;24;184;27;12;3
200912;02020202;02;02;02;02;1;5469;2802;2667;53;46;67;94;73;34;42;88;91;109;46;140;180;365;226;357;519;453;555;492;412;330;154;71;83;114;138;58;41;26;6;6;53;280;410;140;545;3014;555;393;79
200912;02020203;02;02;02;03;1;9792;5006;4786;96;123;92;178;88;85;72;140;113;108;70;198;259;568;341;676;1033;957;945;984;704;587;293;148;132;211;244;155;107;61;15;9;96;481;588;198;827;5640;1028;742;192
200912;02020204;02;02;02;04;1;11698;5946;5752;116;112;93;199;102;99;79;177;178;185;97;280;258;647;540;861;1345;1054;1188;1123;816;666;282;152;179;227;287;168;102;62;21;3;116;506;815;280;905;6927;1100;861;188
200912;02020205;02;02;02;05;1;14449;7392;7057;147;113;168;263;145;140;139;241;264;242;116;334;350;712;522;995;1602;1320;1508;1574;1090;815;378;177;158;283;309;176;87;46;15;20;147;689;1142;334;1062;8611;1370;926;168
200912;02020206;02;02;02;06;1;17806;9022;8784;175;210;184;314;176;151;128;293;327;261;125;368;526;1027;704;1462;2164;1617;1756;1610;1242;917;434;187;205;320;397;217;151;103;40;15;175;884;1285;368;1553;10555;1538;1139;309
200912;02030301;02;03;03;01;1;9165;4739;4426;88;92;101;161;120;81;84;183;221;208;77;248;305;638;352;619;996;811;885;802;523;442;240;148;145;187;229;94;39;27;13;6;88;474;854;248;943;4988;830;655;85
200912;02030302;02;03;03;02;1;13084;6857;6227;159;149;159;261;147;115;106;240;250;242;124;305;413;756;471;962;1472;1251;1207;1160;845;598;298;198;176;265;349;234;105;49;15;3;159;716;1077;305;1169;7368;1094;1024;172
200912;02030401;02;03;04;01;1;14799;7554;7245;157;176;153;247;147;114;107;218;203;221;90;302;404;831;638;1301;2055;1540;1405;1268;929;675;361;155;162;247;302;218;92;46;26;9;157;723;953;302;1235;9136;1191;929;173
200912;02030402;02;03;04;02;1;11238;5885;5353;129;122;105;187;74;83;83;168;183;147;67;242;265;695;531;1043;1669;1175;1039;959;692;459;225;138;135;202;255;92;41;21;9;3;129;488;731;242;960;7108;822;684;74
200912;02040501;02;04;05;01;1;5418;2544;2874;43;45;41;73;31;35;37;73;52;69;15;98;137;215;123;186;309;234;369;381;335;330;149;103;205;404;516;385;212;141;46;26;43;190;281;98;352;1937;582;1510;425
200912;02040502;02;04;05;02;1;6604;3158;3446;56;65;53;114;40;31;34;67;65;56;24;90;182;523;301;482;595;477;460;458;411;301;173;103;149;245;365;317;230;107;21;9;56;272;277;90;705;3184;577;1076;367
