ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
201612;10020519;10;02;05;19;2;6051;3123;2928;101;102;99;216;112;119;74;196;157;147;68;169;151;330;230;481;596;459;271;334;455;371;181;100;77;102;113;121;69;34;10;6;101;529;761;169;481;2826;652;413;119
201612;10020620;10;02;06;20;2;3299;1620;1679;33;39;42;57;30;46;18;37;21;30;13;51;42;156;117;291;364;246;138;185;302;337;176;91;81;90;80;104;52;24;6;0;33;168;165;51;198;1643;604;355;82
201612;10020621;10;02;06;21;2;6071;3019;3052;93;101;76;185;87;78;72;114;140;108;60;155;161;299;256;516;625;446;264;352;517;477;182;100;95;104;134;119;101;44;7;3;93;449;572;155;460;2976;759;452;155
201612;10020622;10;02;06;22;2;8631;3988;4643;70;78;92;149;66;63;67;137;143;87;54;157;146;216;229;513;723;547;385;423;619;713;479;343;281;340;434;463;295;180;107;32;70;385;551;157;362;3439;1535;1518;614
201612;10020623;10;02;06;23;2;6527;3086;3441;52;60;66;105;51;49;57;103;91;76;37;129;114;139;114;273;446;370;249;361;719;794;350;187;166;217;323;391;250;137;35;16;52;282;413;129;253;2532;1331;1097;438
201612;10030724;10;03;07;24;2;7799;3832;3967;33;46;61;106;48;49;61;111;96;87;36;150;185;423;222;278;375;421;368;489;735;716;423;285;263;297;461;500;267;144;47;16;33;261;440;150;608;2888;1424;1521;474
201612;10030725;10;03;07;25;2;6297;3187;3110;76;75;58;112;57;45;55;91;88;89;45;144;173;213;152;275;482;431;326;388;511;566;310;217;199;193;283;298;194;97;41;13;76;302;413;144;386;2565;1093;973;345
201612;10030726;10;03;07;26;2;3009;1455;1554;28;21;24;84;33;24;24;48;40;53;15;60;60;54;28;65;184;230;166;273;277;261;125;69;57;93;144;180;122;114;40;13;28;162;204;60;114;1223;455;474;289
201612;10030727;10;03;07;27;2;9315;4631;4684;57;72;74;160;93;70;89;193;165;170;76;198;209;186;111;177;440;592;583;768;1154;889;508;302;274;293;460;474;243;147;60;28;57;399;763;198;395;3825;1699;1501;478
201612;10040828;10;04;08;28;2;7719;3806;3913;48;57;55;148;69;76;78;148;134;121;75;199;195;181;120;284;463;491;393;585;959;866;391;207;200;238;360;319;165;75;19;0;48;329;632;199;376;3295;1464;1117;259
201612;10040829;10;04;08;29;2;3762;1866;1896;40;24;39;66;36;22;36;48;65;60;31;97;118;104;61;128;228;204;223;322;421;304;156;115;90;130;178;216;136;48;12;4;40;165;262;97;222;1587;575;614;200
201612;10040830;10;04;08;30;2;7545;3745;3800;46;55;44;152;75;68;72;154;126;96;74;195;164;145;104;168;326;437;439;638;786;783;420;267;238;257;416;438;228;96;29;9;46;326;590;195;309;2898;1470;1349;362
201612;10040931;10;04;09;31;2;9323;4637;4686;88;75;69;179;82;99;90;156;136;144;67;203;207;207;121;241;486;618;529;744;1175;1009;474;265;259;298;424;439;235;127;63;14;88;405;692;203;414;3914;1748;1420;439
201612;10040932;10;04;09;32;2;3956;1991;1965;25;33;40;63;31;39;30;63;55;42;37;105;89;87;63;118;283;265;215;288;431;401;186;133;112;134;208;209;121;30;17;3;25;167;266;105;176;1663;720;663;171
201612;10040933;10;04;09;33;2;14747;7331;7416;95;118;139;228;157;139;123;281;243;250;118;378;348;274;193;346;675;882;860;1283;1809;1489;732;425;418;501;787;813;414;167;52;10;95;642;1154;378;622;6048;2646;2519;643
201612;11010101;11;01;01;01;2;592;374;218;6;3;0;12;0;6;3;9;7;15;3;9;12;21;22;21;39;45;27;57;69;59;33;18;12;25;14;24;12;9;0;0;6;15;43;9;33;280;110;75;21
201612;11010102;11;01;01;02;2;2557;1288;1269;13;9;25;34;12;27;27;56;61;51;20;49;61;39;16;66;125;172;141;201;362;349;136;91;68;76;108;97;34;21;10;0;13;80;242;49;100;1083;576;349;65
201612;11010103;11;01;01;03;2;1604;863;741;16;27;11;25;19;22;16;36;22;44;13;45;57;51;44;79;127;111;101;143;174;172;72;33;40;15;30;19;21;12;7;0;16;82;153;45;108;779;277;104;40
201612;11010204;11;01;02;04;2;8907;4406;4501;119;117;112;236;109;107;113;209;181;194;83;220;224;378;242;556;790;596;461;519;873;803;356;194;154;166;246;242;164;77;49;17;119;574;887;220;602;4037;1353;808;307
