ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_U1;E_1U6;E_6U15;E_15U18;E_18U25;E_25U55;E_55U65;E_65U80;E_80U110
200312;01011101;01;01;11;01;1;3297;1675;1622;17;15;16;23;19;6;15;43;37;44;22;52;108;244;153;159;235;276;259;236;264;286;164;103;87;99;121;83;63;33;12;3;17;73;167;52;352;1582;553;390;111
200312;01011102;01;01;11;02;1;201;117;84;0;3;0;3;0;0;0;0;3;3;3;6;3;13;3;7;15;30;24;22;9;15;9;12;0;6;0;6;0;6;0;0;0;6;9;6;16;110;36;12;6
200312;01011103;01;01;11;03;1;4722;2435;2287;32;52;41;80;35;47;35;52;72;77;33;149;154;260;124;193;340;447;447;408;354;320;167;97;79;131;144;129;108;51;53;11;32;208;316;149;414;2313;584;483;223
200312;01011104;01;01;11;04;1;3825;1989;1836;31;50;53;110;51;47;45;77;80;79;55;156;189;379;179;232;346;360;340;266;210;149;73;37;40;54;52;49;15;6;15;0;31;264;383;156;568;1933;259;195;36
200312;01011105;01;01;11;05;1;575;322;253;0;9;0;6;3;6;0;0;6;3;3;25;36;28;20;31;76;61;43;56;54;33;12;15;10;12;12;9;6;0;0;0;0;18;18;25;64;341;60;43;6
200312;01011201;01;01;12;01;1;2359;1234;1125;21;16;19;24;15;18;16;36;27;73;37;101;94;114;45;76;147;198;283;228;186;183;84;63;48;73;72;40;10;9;3;0;21;74;207;101;208;1163;330;233;22
200312;01011202;01;01;12;02;1;389;205;184;3;6;3;6;4;0;6;3;0;3;0;16;12;18;21;18;31;60;44;30;30;25;16;3;12;10;3;3;3;0;0;0;3;19;12;16;30;234;44;28;3
200312;01011203;01;01;12;03;1;1051;550;501;3;3;3;19;9;3;3;9;12;21;13;24;39;69;22;39;80;125;102;89;108;71;48;27;18;27;45;17;3;0;0;0;3;34;61;24;108;565;146;107;3
200312;01011204;01;01;12;04;1;5611;2794;2817;30;33;27;43;22;27;25;52;32;66;44;161;181;286;145;212;432;443;424;417;473;427;357;216;178;228;294;190;94;31;18;3;30;125;246;161;467;2546;1000;890;146
200312;01011301;01;01;13;01;1;3978;2126;1852;50;52;15;49;22;20;19;29;29;47;22;77;86;235;175;288;606;531;443;300;279;180;100;71;57;54;59;43;27;7;3;3;50;138;166;77;321;2622;351;213;40
200312;01011302;01;01;13;02;1;10957;5704;5253;123;120;108;188;84;91;76;123;130;164;86;346;360;678;486;875;1535;1568;1123;691;571;335;228;150;96;161;147;119;95;44;47;9;123;500;670;346;1038;6849;713;523;195
200312;01011303;01;01;13;03;1;7740;3926;3814;48;31;49;70;30;29;25;53;61;86;40;181;208;527;294;495;761;733;602;527;437;371;368;260;218;334;379;242;163;65;47;6;48;180;294;181;735;3849;999;1173;281
200312;01011304;01;01;13;04;1;8111;3666;4445;39;40;38;93;37;39;38;76;77;110;68;233;228;295;144;199;351;470;501;506;410;451;499;377;404;578;784;545;285;118;62;16;39;208;408;233;523;2581;1327;2311;481
200312;01011305;01;01;13;05;1;6150;3023;3127;36;28;26;44;24;25;29;41;65;69;51;148;194;395;182;217;353;430;423;394;346;322;355;284;284;456;508;260;113;27;18;3;36;122;280;148;589;2345;961;1508;161
200312;01011306;01;01;13;06;1;7170;3683;3487;55;57;49;96;37;28;31;38;58;88;52;231;287;460;210;377;628;700;630;559;477;335;332;301;211;279;249;156;89;38;18;14;55;239;295;231;747;3581;968;895;159
200312;01011401;01;01;14;01;1;11477;5988;5489;109;107;116;166;81;70;83;131;124;134;69;235;309;852;648;1123;1988;1641;1022;660;423;271;219;119;109;150;176;154;117;28;40;3;109;470;611;235;1161;7505;609;589;188
200312;01011402;01;01;14;02;1;10019;5129;4890;110;112;72;151;51;60;50;83;73;87;46;201;185;696;574;1117;2017;1477;853;448;394;253;169;81;80;116;150;101;79;56;53;24;110;386;399;201;881;6880;503;447;212
